Day,Time,Temperature
9/24/18,12:56 AM,49
9/24/18,1:56 AM,48
9/24/18,2:56 AM,47
9/24/18,3:56 AM,46
9/24/18,4:56 AM,46
9/24/18,5:56 AM,46
9/24/18,6:30 AM,46
9/24/18,6:56 AM,46
9/24/18,7:56 AM,49
9/24/18,8:56 AM,53
9/24/18,9:56 AM,58
9/24/18,10:56 AM,60
9/24/18,11:56 AM,64
9/24/18,12:56 PM,66
9/24/18,1:56 PM,68
9/24/18,2:56 PM,67
9/24/18,3:56 PM,66
9/24/18,4:56 PM,63
9/24/18,5:56 PM,60
9/24/18,6:56 PM,58
9/24/18,7:56 PM,58
9/24/18,8:56 PM,57
9/24/18,9:56 PM,57
9/24/18,10:56 PM,58
9/24/18,11:56 PM,56
9/25/18,12:56 AM,56
9/25/18,1:56 AM,54
9/25/18,2:15 AM,54
9/25/18,2:56 AM,53
9/25/18,3:17 AM,54
9/25/18,3:56 AM,53
9/25/18,4:05 AM,54
9/25/18,4:56 AM,52
9/25/18,5:10 AM,52
9/25/18,5:44 AM,52
9/25/18,5:56 AM,52
9/25/18,6:03 AM,52
9/25/18,6:30 AM,52
9/25/18,6:56 AM,52
9/25/18,7:56 AM,52
9/25/18,8:56 AM,54
9/25/18,9:56 AM,56
9/25/18,10:56 AM,56
9/25/18,11:56 AM,58
9/25/18,12:56 PM,62
9/25/18,1:56 PM,63
9/25/18,2:56 PM,64
9/25/18,3:56 PM,65
9/25/18,4:56 PM,65
9/25/18,5:56 PM,65
9/25/18,6:56 PM,65
9/25/18,7:56 PM,65
9/25/18,8:56 PM,65
9/25/18,9:56 PM,65
9/25/18,10:42 PM,64
9/25/18,10:56 PM,66
9/25/18,11:43 PM,66
9/25/18,11:51 PM,66
9/25/18,11:56 PM,66